ID,Name,Address,Longitude,Latitude,Url,Photos,Description,Review_count,Zip_code,Search_category,
eqdBPUvANFaDrzQo9whkNQ,Shoreline Park,Aquarium Way Long Beach CA US 90899,-118.1951022,33.76019073,https://www.yelp.com/biz/shoreline-park-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media4.fl.yelpcdn.com/bphoto/63Q4nhxnG5-OtrxTgTMjVg/o.jpg,Parks parks,65,90899,Outdoors,
v-X46YzabaoO7JWpbgUgGQ,Bayshore Roller Hockey Rink,14-54TH Pl Long Beach CA US 90899,-118.1320546,33.7536867,https://www.yelp.com/biz/bayshore-roller-hockey-rink-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media2.fl.yelpcdn.com/bphoto/UwC2rM-fB60UG8uE5Uq53Q/o.jpg,Skating Rinks skatingrinks,2,90899,Outdoors,
RGF7FZ39rZm6y1U7mxexLg,Aqua Link,Long Beach CA US 90899,-118.1924,33.76673,https://www.yelp.com/biz/aqua-link-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media4.fl.yelpcdn.com/bphoto/zU16FX3GFUCQiXmrZWR9rg/o.jpg,Boating boating,46,90899,Outdoors,
H9qoyqAcBUSKiSpG9iv9lQ,Long Beach Police Dept,Long Beach CA US 90899,-118.1924,33.76673,https://www.yelp.com/biz/long-beach-police-dept-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media1.fl.yelpcdn.com/bphoto/u1zL_bgtl-3w72eCjdThEg/o.jpg,Public Services & Government publicservicesgovt,34,90899,Other,
3-Ax6cyOX0RJznZqkmmTaA,Naples Canals,Long Beach CA US 90899,-118.123099,33.75532409,https://www.yelp.com/biz/naples-canals-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media3.fl.yelpcdn.com/bphoto/eI16U-3mw9t4LgUFkgfX3g/o.jpg,Local Flavor localflavor,65,90899,Arts,
aJEnHDSUX92i-YgJK5NvQA,DeForest Park,6255 DeForest Ave Long Beach CA US 90899,-118.1917902,33.8677548,https://www.yelp.com/biz/deforest-park-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,https://s3-media1.fl.yelpcdn.com/bphoto/muG__VksW3wRzf_1M8Dklw/o.jpg,Parks parks,10,90899,Outdoors,
ZNzysmwrPvyI7Djhl1lshw,The Federal Breakwater,Long Beach CA US 90899,-118.1994171,33.76763153,https://www.yelp.com/biz/the-federal-breakwater-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,https://s3-media3.fl.yelpcdn.com/bphoto/None/o.jpg,Swimming Pools swimmingpools Beaches beaches,2,90899,Outdoors,
utKadNBJ3xuSooyazuzveA,Recreation Park,4900 E 7th St Long Beach CA US 90899,-118.1360734,33.7752051,https://www.yelp.com/biz/recreation-park-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,https://s3-media4.fl.yelpcdn.com/bphoto/ZYj2FAUDRlVpGayaHiQPQg/o.jpg,Parks parks,9,90899,Outdoors,
NKuiiZyidrOovZJ84eqY0A,Rosie the Riveter Park,Clark Ave And Conant St Long Beach CA US 90899,-118.1344456,33.82430685,https://www.yelp.com/biz/rosie-the-riveter-park-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,https://s3-media2.fl.yelpcdn.com/bphoto/NgaEanrsGqrwUVM7MSRemQ/o.jpg,Parks parks,6,90899,Outdoors,
92ZpeWsBLCCogDlqBUJ1vA,SERVPRO of Southeast Long Beach/Belmont Shores,Long Beach CA US 90853,-118.13629,33.76074,https://www.yelp.com/biz/servpro-of-southeast-long-beach-belmont-shores-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,https://s3-media4.fl.yelpcdn.com/bphoto/u5ArQQarnRlUgmdj-P1C-g/o.jpg,Carpet Cleaning carpet_cleaning Damage Restoration damagerestoration Air Duct Cleaning airductcleaning,6,90853,Other,
