licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating
BU02046870,4/5/19,Town & Country Car Wash,ChIJb1HB69Ex3YARjYZ5IeGj-Gw,"5675 Pacific Coast Hwy, Long Beach, CA 90814, USA",33.7748097,-118.1216338,,4
BU20528920,4/5/19,Blue Ribbon Cleaners,ChIJpZy3z6Ux3YARxtr5xITeutY,"640 Redondo Ave, Long Beach, CA 90814, USA",33.7745771,-118.1518567,,3.4
BU20151821,4/5/19,Gondolier Apartments,ChIJq_7-z88x3YARCuCyr4KOLIw,"5525 Pacific Coast Hwy, Long Beach, CA 90804, USA",33.777337,-118.124716,,3.3
BU20308080,4/5/19,Slice of Jamrica,ChIJ8dg8zxUx3YARZ1Ee81Fgvd8,"954 E 4th St, Long Beach, CA 90802, USA",33.7716028,-118.1801522,,5
BU20411081,4/5/19,Carousel Preschool,ChIJPTvGAQ8x3YARY35uXodJcFo,"366 Cherry Ave, Long Beach, CA 90802, USA",33.7712561,-118.1675398,,4
BU20123500,4/5/19,Palazzo Realty Inc,ChIJQ5meGaUx3YARa3CwDnURD8s,"3700 E 7th St, Long Beach, CA 90804, USA",33.7752201,-118.1490036,,2.3
BU20617490,4/5/19,W P Watches & Jewelry Clinic,ChIJk13OAKIx3YARP1yN-CwRH0A,"3326 E Anaheim St, Long Beach, CA 90804, USA",33.7823243,-118.1528979,,4.7
BU20527700,4/5/19,Grace Hotel,ChIJPdZbkaEx3YAR-CP6adz4rTc,"1090 Obispo Ave, Long Beach, CA 90804, USA",33.7806416,-118.1545018,,2.8
BU20656290,4/5/19,Mink Quan Thai,ChIJ059p258x3YARfHEX5w859PA,"2821 E Anaheim St, Long Beach, CA 90804, USA",33.7827965,-118.1584705,,4.2
BU02009281,4/5/19,Argonne Motel,ChIJEdXj3hQx3YARCH12894a7NI,"1032 E 7th St, Long Beach, CA 90813, USA",33.7749807,-118.1793597,,3.1
BU01032560,4/5/19,Leon G Smith Accountancy Corporation,ChIJSTYB7box3YAR6CPOdZMcUhU,"4017 E 7th St, Long Beach, CA 90804, USA",33.7755311,-118.1453574,,0
BU20116990,4/5/19,Mar Mel Inn ~ Bed and Breakfast for Dogs and Cats,ChIJ6eU3tZ8x3YARUxSHBLIOM3g,"1374 Gladys Ave, Long Beach, CA 90804, USA",33.7840026,-118.1574083,,3.7
