licenseNum,date,yelp_name,yelp_id,image_url,is_claimed,is_closed,address,city,state,country,zip_code,price,rating,review_count,transactions,url
BU95012320,2019-04-01,Dj Auto Body Parts,HXeSzZCm2t-CpT7bvwkldQ,https://s3-media2.fl.yelpcdn.com/bphoto/EbrSpOXzxaEIi8pEx8wu2w/o.jpg,True,False,1130 Santa Fe Ave,Long Beach,CA,US,90813,,4.5,9,[],https://www.yelp.com/biz/dj-auto-body-parts-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21032520,2019-04-01,Birrieria Tepechi,YnNAx0M3sVwNO9S8wg_fiw,https://s3-media2.fl.yelpcdn.com/bphoto/oGJUwFT95U42DDQ2rakdQw/o.jpg,True,False,1440 Santa Fe Ave,Long Beach,CA,US,90813,$$,4.0,110,[],https://www.yelp.com/biz/birrieria-tepechi-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU96001040,2019-04-01,Rocky Mountain Chocolate Factory,h_matZLilkT01ewNrxSpdA,https://s3-media2.fl.yelpcdn.com/bphoto/sYs1xBpkV62gpkOF6pQG3w/o.jpg,True,False,419 Shoreline Village Dr,Long Beach,CA,US,90802,$$,2.5,43,[],https://www.yelp.com/biz/rocky-mountain-chocolate-factory-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU20903970,2019-04-01,Twisters & Coffee,bwf9Su7GKnGSuMN8icOvuQ,https://s3-media4.fl.yelpcdn.com/bphoto/bG4t_2MffkGfkdcsE0NCCg/o.jpg,False,False,419 Shoreline Village Dr,Long Beach,CA,US,90802,$$,2.5,25,[],https://www.yelp.com/biz/twisters-and-coffee-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU20732680,2019-04-01,Saga,x3AZmSs_8Elz6WjolbOlPw,https://s3-media1.fl.yelpcdn.com/bphoto/hfxQrhAusp3DdZRgqAMzhA/o.jpg,True,False,429-K Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.0,13,[],https://www.yelp.com/biz/saga-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU98025200,2019-04-01,Jon's Body Shop,G8sTB8sH-F83pe2Y1VZJ8A,https://s3-media3.fl.yelpcdn.com/bphoto/G0t2_NWkF_JPVXF2Ck1rpA/o.jpg,False,False,1556 W 11th St,Long Beach,CA,US,90813,,5.0,4,[],https://www.yelp.com/biz/jons-body-shop-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU87030410,2019-04-01,Fiberglass Arts Body Shop,BAyZP1Fj8lvYibE0K_u8XQ,https://s3-media3.fl.yelpcdn.com/bphoto/zdDLaV597N51fEHjgWNbuA/o.jpg,True,False,1540 Canal Ave,Long Beach,CA,US,90813,,4.0,4,[],https://www.yelp.com/biz/fiberglass-arts-body-shop-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU94057481,2019-04-01,Shoreline Grill & Pub,CJYiD0q9tR4nSf2Plo-XwQ,https://s3-media1.fl.yelpcdn.com/bphoto/98qBHwzzq3i1hjM13QyHMA/o.jpg,True,True,429 H Shoreline Village Dr,Long Beach,CA,US,90802,$$,2.0,24,[],https://www.yelp.com/biz/shoreline-grill-and-pub-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU94065191,2019-04-01,Shoreline Village,O_lXKjPMXgLZyckRM3IwgA,https://s3-media2.fl.yelpcdn.com/bphoto/o_yOvxrqkNVm6hPh5xSrIA/o.jpg,True,False,401-435 Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.0,176,[],https://www.yelp.com/biz/shoreline-village-long-beach-3?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU94065201,2019-04-01,Shoreline Village,O_lXKjPMXgLZyckRM3IwgA,https://s3-media2.fl.yelpcdn.com/bphoto/o_yOvxrqkNVm6hPh5xSrIA/o.jpg,True,False,401-435 Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.0,176,[],https://www.yelp.com/biz/shoreline-village-long-beach-3?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
